"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"22-Sep-2023","EQ","93.40","94.50","93.10","93.40","93.40","93.60","93.74","100.70","46.20","16,438,998","1,541,067,877.95","63,795"
"21-Sep-2023","EQ","93.75","94.85","93.15","93.60","93.35","93.40","93.95","100.70","46.20","25,504,384","2,396,063,648.20","66,286"
"20-Sep-2023","EQ","93.00","95.35","92.40","93.15","94.20","93.60","94.05","100.70","46.20","49,353,167","4,641,875,315.40","136,439"
"18-Sep-2023","EQ","94.50","94.55","92.85","94.55","93.30","93.15","93.51","100.70","46.20","24,402,174","2,281,805,666.35","98,682"
"15-Sep-2023","EQ","94.00","94.75","93.05","93.65","94.45","94.55","93.91","100.70","46.20","20,016,713","1,879,793,946.35","59,154"
"14-Sep-2023","EQ","93.80","94.75","92.60","93.10","93.70","93.65","93.60","100.70","46.20","23,581,447","2,207,133,182.20","71,946"
"13-Sep-2023","EQ","93.35","93.70","89.30","93.45","93.35","93.10","91.54","100.70","46.20","82,602,747","7,561,723,146.75","179,720"
"12-Sep-2023","EQ","98.00","98.00","93.00","96.55","93.50","93.45","94.71","100.70","46.20","43,656,392","4,134,567,984.65","148,559"
"11-Sep-2023","EQ","97.30","97.40","96.20","95.35","96.50","96.55","96.62","100.70","46.20","32,132,630","3,104,775,049.85","107,234"
"08-Sep-2023","EQ","96.80","97.05","94.65","95.80","95.20","95.35","95.51","100.70","46.20","34,295,404","3,275,700,234.75","102,190"
"07-Sep-2023","EQ","97.90","98.25","95.50","97.65","96.00","95.80","96.65","100.70","46.20","38,143,881","3,686,677,078.75","132,682"
"06-Sep-2023","EQ","99.75","99.75","96.25","99.20","97.20","97.65","98.41","100.70","46.20","46,033,233","4,530,174,492.10","115,404"
"05-Sep-2023","EQ","98.90","100.70","97.70","98.45","99.40","99.20","99.04","100.70","46.20","54,709,325","5,418,502,030.55","144,786"
"04-Sep-2023","EQ","95.00","99.00","94.60","93.40","98.80","98.45","96.82","99.00","46.20","78,872,194","7,636,386,580.50","166,025"
"01-Sep-2023","EQ","91.80","94.00","89.10","93.35","93.20","93.40","92.13","95.80","46.05","88,835,098","8,184,307,051.75","141,668"
"31-Aug-2023","EQ","93.00","95.80","90.20","92.25","95.25","93.35","93.12","95.80","46.05","449,067,817","41,815,232,745.70","201,120"
"30-Aug-2023","EQ","91.25","92.45","90.80","90.30","92.30","92.25","91.98","93.60","46.05","34,413,041","3,165,284,090.85","62,860"
"29-Aug-2023","EQ","91.20","91.95","90.10","91.05","90.60","90.30","91.22","93.60","46.05","31,488,791","2,872,348,900.85","71,965"
"28-Aug-2023","EQ","91.85","91.85","90.50","91.10","91.15","91.05","91.11","93.60","46.05","29,530,537","2,690,557,914.70","67,972"
"25-Aug-2023","EQ","91.30","92.10","90.20","91.45","90.90","91.10","91.14","93.60","43.05","29,665,822","2,703,676,720.60","64,759"
"24-Aug-2023","EQ","93.00","93.55","90.95","92.25","91.50","91.45","92.23","93.60","43.05","33,846,829","3,121,759,351.55","86,945"
"23-Aug-2023","EQ","92.70","93.60","92.15","91.95","92.40","92.25","92.78","93.60","43.05","42,359,762","3,930,025,348.45","91,318"
"22-Aug-2023","EQ","90.00","92.50","89.90","89.70","92.00","91.95","91.43","92.50","43.05","49,308,878","4,508,223,279.00","101,399"
"21-Aug-2023","EQ","89.40","89.95","88.75","88.95","89.85","89.70","89.47","90.00","43.05","27,088,533","2,423,510,211.75","78,483"
"18-Aug-2023","EQ","88.15","89.65","88.15","88.55","89.00","88.95","88.90","90.00","43.05","20,227,094","1,798,136,938.35","69,122"
"17-Aug-2023","EQ","88.45","90.00","88.05","88.35","88.85","88.55","89.04","90.00","43.05","36,736,850","3,271,182,930.20","94,161"
"16-Aug-2023","EQ","87.80","88.65","87.35","88.15","88.35","88.35","88.29","89.45","43.05","27,771,707","2,452,088,759.65","59,960"
"14-Aug-2023","EQ","88.20","88.50","86.30","88.15","88.30","88.15","87.57","89.45","43.05","21,353,172","1,869,941,505.60","60,933"
"11-Aug-2023","EQ","88.05","89.00","87.65","87.55","88.15","88.15","88.17","89.45","43.05","33,682,850","2,969,878,261.20","56,219"
"10-Aug-2023","EQ","88.00","89.00","87.20","88.15","87.35","87.55","87.98","89.45","43.05","28,905,866","2,543,014,825.05","77,192"
"09-Aug-2023","EQ","87.65","88.30","87.10","87.45","88.15","88.15","87.77","89.45","43.05","21,568,879","1,893,026,626.70","58,302"
"08-Aug-2023","EQ","87.70","88.75","86.85","87.65","87.55","87.45","87.77","89.45","43.05","21,638,603","1,899,282,352.85","52,760"
"07-Aug-2023","EQ","87.75","88.45","87.10","87.45","87.75","87.65","87.74","89.45","43.05","25,688,424","2,253,908,977.15","66,651"
"04-Aug-2023","EQ","87.70","88.20","86.50","86.95","87.40","87.45","87.41","89.45","38.50","28,666,645","2,505,682,819.85","64,762"
"03-Aug-2023","EQ","87.30","87.90","85.85","87.10","87.00","86.95","86.76","89.45","38.50","34,558,158","2,998,167,370.45","99,257"
"02-Aug-2023","EQ","88.30","88.30","85.55","88.50","87.15","87.10","86.90","89.45","38.50","38,132,375","3,313,599,340.95","101,525"
"01-Aug-2023","EQ","87.65","89.45","87.50","87.20","88.50","88.50","88.39","89.45","38.50","44,063,991","3,894,914,298.90","185,123"
"31-Jul-2023","EQ","85.50","88.30","84.05","83.95","87.25","87.20","86.37","88.30","38.50","101,482,338","8,765,516,532.65","183,628"
"28-Jul-2023","EQ","83.00","84.15","82.55","82.55","83.95","83.95","83.55","86.10","35.35","31,513,904","2,632,986,651.55","76,968"
"27-Jul-2023","EQ","85.45","86.10","82.05","84.65","82.95","82.55","83.82","86.10","35.35","57,037,266","4,780,930,867.25","119,556"
"26-Jul-2023","EQ","83.15","84.80","83.10","83.05","84.55","84.65","84.04","85.50","35.35","35,416,467","2,976,496,285.10","70,455"
"25-Jul-2023","EQ","84.05","84.30","82.60","83.70","83.15","83.05","83.32","85.50","35.35","27,648,977","2,303,734,086.10","65,673"
"24-Jul-2023","EQ","83.40","85.50","83.10","82.85","83.65","83.70","84.38","85.50","35.35","52,748,590","4,450,905,094.35","107,613"
"21-Jul-2023","EQ","81.45","83.15","81.00","81.40","83.00","82.85","82.54","84.50","33.55","33,765,456","2,787,031,142.50","64,637"
"20-Jul-2023","EQ","81.75","81.80","80.90","81.80","81.50","81.40","81.36","84.50","33.55","22,078,998","1,796,358,507.00","81,730"
"19-Jul-2023","EQ","81.45","82.20","80.60","81.10","81.80","81.80","81.53","84.50","33.55","35,963,042","2,932,150,314.85","65,463"
"18-Jul-2023","EQ","82.15","82.40","80.55","81.70","81.20","81.10","81.53","84.50","33.55","26,356,687","2,148,940,380.60","68,041"
"17-Jul-2023","EQ","82.55","82.70","81.25","82.50","81.80","81.70","81.78","84.50","33.55","20,735,946","1,695,848,712.65","90,568"
"14-Jul-2023","EQ","81.80","82.75","81.20","81.35","82.40","82.50","81.96","84.50","33.05","23,195,358","1,901,167,503.95","83,384"
"13-Jul-2023","EQ","83.50","83.65","81.10","83.10","81.75","81.35","82.36","84.50","33.05","31,808,815","2,619,700,594.85","117,759"
"12-Jul-2023","EQ","83.30","84.40","82.85","82.80","82.95","83.10","83.62","84.50","33.05","44,600,443","3,729,522,541.75","106,221"
"11-Jul-2023","EQ","79.55","83.00","79.50","79.25","83.00","82.80","81.88","84.50","33.05","61,675,220","5,050,099,845.65","113,842"
"10-Jul-2023","EQ","80.20","80.20","78.85","79.70","79.30","79.25","79.35","84.50","33.05","23,509,603","1,865,567,223.60","68,090"
"07-Jul-2023","EQ","80.50","80.80","79.05","80.50","79.90","79.70","79.77","84.50","32.60","27,805,119","2,218,023,789.85","138,190"
"06-Jul-2023","EQ","80.35","81.10","79.70","80.35","80.40","80.50","80.39","84.50","32.60","45,178,598","3,632,016,091.30","114,896"
"05-Jul-2023","EQ","78.50","81.45","78.00","78.65","80.30","80.35","80.35","84.50","32.60","74,563,754","5,991,518,949.35","133,837"
"04-Jul-2023","EQ","81.50","81.50","77.05","81.95","78.70","78.65","78.59","84.50","32.60","123,645,833","9,717,671,061.45","238,657"
"03-Jul-2023","EQ","79.95","82.10","79.90","79.40","81.70","81.95","81.26","84.50","32.60","41,722,855","3,390,521,339.10","99,574"
"30-Jun-2023","EQ","80.05","81.45","79.25","79.70","79.60","79.40","80.19","84.50","30.60","45,626,525","3,658,693,879.75","95,743"
